,SL1,Pyrlayer2a/b,Pyrlayer3,SL2,IN_MGE-SST,IN_CGE_VIP,Vglut2,IN_CGE_NPY,IN_MGE-Pvalb,genes,var
0,0.016951445,0.019498251,0.018034466,0.026126616,0.04079116,0.028147582,0.04540418,0.044176552,0.022490535,Ikzf1,6.734510455290289e-05
1,0.21494584,0.58627933,0.41130406,0.5181663,0.3647807,0.2983114,0.31664902,0.44288963,0.1701221,Arhgap6,0.015768437637319405
2,0.011145431,0.016315114,0.0123943435,0.010079009,0.0,0.017885972,0.010992374,0.013786417,0.023383949,P3h4,3.31547703663507e-05
3,0.1211064,0.1262746,0.12768215,0.12163071,0.17117548,0.12981126,0.12285582,0.16487414,0.13095552,Cnp,0.0003019578748604072
4,1.1061343,1.3943657,1.5159938,1.4080987,1.4421661,1.3701936,1.3998785,1.3963814,1.407834,AC149090.1,0.016357431991174166
5,0.043735765,0.05163779,0.06062088,0.025605746,0.67679024,0.475265,0.25054047,0.33833385,0.83452415,Vwc2,0.06606536740117545
6,0.04507799,0.047298126,0.061193164,0.060519807,0.05389064,0.09167379,0.060528807,0.037360407,0.077480026,Nxpe2,0.0002377051863845672
7,0.0,0.0011704243,0.0012466325,0.0074557634,0.0,0.0,0.0,0.0047510387,0.0048934794,Proser2,7.0444939655781805e-06
8,0.008265775,0.021873929,0.019838993,0.012358356,0.003694673,0.0031068071,0.022997202,0.01904849,0.0152987875,Apoa1,5.328663268994317e-05
9,0.0072600404,0.0045321304,0.0026935956,0.0076054875,0.0,0.0,0.0,0.0109222755,0.0,Slc11a1,9.501673316630467e-06
10,0.3045087,0.23652089,0.2390271,0.1982182,0.2850591,0.5072632,0.21633038,0.23266247,0.1546627,Fxyd6,0.01019405439333368
11,0.12143284,0.061572943,0.042596232,0.07784704,0.05532279,0.06463036,0.09003554,0.03802246,0.017536253,Jup,0.0006285365602031051
12,0.066729054,0.054382205,0.06630981,0.07974662,0.06321305,0.12180468,0.0595756,0.08332509,0.11250634,Tns3,0.0004867276297684196
13,0.0939227,0.09864069,0.10192547,0.098979995,0.20525756,0.17266357,0.11069257,0.16912007,0.15496092,Pdcd11,0.0019178206738966646
14,0.422528,0.09152883,0.076626495,0.2308219,0.18092287,0.13749903,0.12472004,0.15061654,0.20891574,Usp6nl,0.013520760741319767
15,0.010482101,0.0081794895,0.011463399,0.009513276,0.00631558,0.008126246,0.004379358,0.0,0.0,Spry3,2.861689066870221e-06
16,0.048544306,0.07137395,0.23650861,0.069632545,0.08415426,0.11612495,0.100136064,0.14774081,0.07079116,Matn2,0.003903233763644893
17,0.52452445,0.49190515,0.45443505,0.46934038,0.45008612,0.451446,0.468721,0.47436428,0.5306754,Rpl30,0.0007262528839587409
18,0.06527678,0.06955696,0.08993779,0.08115776,0.08499551,0.07210538,0.07706428,0.11574437,0.1125202,Ccnd1,7.753579422214379e-05
19,0.20021674,0.052710153,0.048174817,0.084374815,0.11329683,0.09280649,0.34703922,0.17141739,0.1989167,Tspan9,0.0025710760691435405
20,0.023926597,0.017740525,0.020277172,0.019830003,0.028254375,0.038014393,0.028646737,0.0591067,0.025352333,Plcd4,4.703554278102312e-05
21,0.01387518,0.005172156,0.00872615,0.016124673,0.019935641,0.013399675,0.044374723,0.03423392,0.041495718,Pzp,2.3039232984758867e-05
22,0.0067781825,0.008522984,0.012796569,0.006366528,0.04035583,0.027151745,0.024507655,0.0,0.0047796927,Smyd1,0.00015927292829165027
23,0.39349383,0.37120277,0.37223774,0.32246447,0.39075378,0.3470673,0.35327768,0.39259815,0.3808509,Eef2,0.0006146967224297652
24,0.16465358,0.18272583,0.17528069,0.21488307,0.1951741,0.19303364,0.22690734,0.13498,0.15100373,Cdk5r2,0.0002555524327575381
25,0.013838817,0.012445372,0.014016089,0.017238416,0.02586997,0.038381696,0.040418528,0.010225429,0.0145031605,Itih5,8.504586112951861e-05
26,0.25861144,0.226845,0.2259907,0.24144974,0.21092832,0.2760935,0.28163856,0.26329127,0.23088081,Ina,0.0004776175406051143
27,0.05640932,0.07722652,0.049079865,0.037757806,0.058448203,0.056454346,0.045472972,0.061490178,0.034455545,Rida,0.000139588968661337
28,0.34111586,0.24744114,0.21806973,0.29729864,0.43709835,0.3419087,0.39175653,0.23617418,0.36719754,Olfm2,0.005096468858483485
29,0.010782719,0.01421774,0.015537193,0.0068111373,0.016365934,0.026083494,0.0073931217,0.009597081,0.004776777,Onecut2,3.507437696614197e-05
30,0.1217203,0.14776476,0.10482989,0.14570868,0.12852341,0.11215078,0.12812935,0.14247662,0.11902003,Bnip3,0.0002538527062983042
31,0.09059597,0.09335646,0.07441956,0.07105668,0.09678497,0.055726122,0.07173643,0.08909339,0.051021226,Mrpl35,0.00021202053450902953
32,0.031566564,0.041663893,0.043636438,0.054138824,0.023236824,0.06909183,0.04775814,0.06927252,0.04632686,Anapc15,0.00022060184281733498
33,0.3841462,0.38669097,0.27057436,0.47349,0.34060204,0.32949585,0.48051655,0.3255555,0.3618331,Pde4a,0.0038958324810493363
34,0.0045800908,0.0085793175,0.0034110206,0.001985398,0.012424734,0.009126989,0.008631958,0.027205374,0.0043256064,S1pr5,1.3288690664749151e-05
35,0.1563131,0.18471897,0.19299904,0.15319443,0.12134585,0.11931194,0.18013369,0.17040804,0.21147746,Pet100,0.0007896034308914552
36,0.021627985,0.02384657,0.030631706,0.021933476,0.026784718,0.031076057,0.04276478,0.02659293,0.056781966,Platr31,1.4686930656166196e-05
37,0.016598742,0.010120528,0.02343369,0.014792269,0.08920533,0.015101135,0.009664376,0.018390007,0.09303033,Cfap46,0.0007595286351452475
38,0.66750395,0.64779806,0.6146624,0.6322405,0.68903637,0.63957226,0.63260424,0.74945676,0.76791775,Atp5md,0.0005823156060557918
39,0.23577245,0.28166276,0.09836904,0.33104149,0.28388208,0.14784867,0.17991507,0.20075983,0.2769942,Plekhh2,0.00664837271086809
